わざ名,配布対象,タイプ,いりょく,めいちゅう,PP,ぶんるい,接触/非接触,効果
きあいだめ,まちだ、はるた、まっちゃん、ふうと,ノーマル,-,-,30,変化,非接触,自分の攻撃が急所に当たりやすくなる。
くすぐる,とうま,ノーマル,-,100,20,変化,非接触,	相手の『こうげき』『ぼうぎょ』ランクを1段階ずつ下げる。
くろいまなざし,みっちー,ノーマル,-,-,5,変化,非接触,"『ゴースト』タイプではない相手は逃げたり、交代できなくなる。
自分が場を離れると効果は消える。"
こらえる,"たつた、もりみつ、たかほ、まちだ、あゆま、ともき、はるた、まっちゃん、
みっちー、まこっちゃん",ノーマル,-,-,10,変化,非接触,"必ず先制できる(優先度:+4)。そのターンに『ひんし』状態になる攻撃を
受けてもHPが1残る。連続で使うと失敗しやすくなる。"
こわいかお,あゆま、まっちゃん,ノーマル,-,100,10,変化,非接触,相手の『すばやさ』ランクを2段階下げる。
さいきのいのり,たかほ、まこっちゃん,ノーマル,-,-,1,変化,非接触,手持ちの『ひんし』状態のポケモンを、最大HPの半分だけ回復させる。
しっぽぎり,もりみつ、うめ、とうま、ともき、いっくん,ノーマル,-,-,10,変化,非接触,"自分のHPを最大HPの半分だけ減らして『みがわり』状態となり、
『みがわり』状態のまま手持ちのポケモンに入れ替わる。
『みがわり』のHPは最大HPの1/4になる。"
しっぽをふる,えいらく、はるた,ノーマル,-,-,30,変化,非接触,	相手の『ぼうぎょ』ランクを1段階下げる。
しんぴのまもり,れおさん,ノーマル,-,-,25,変化,非接触," 5ターンの間、自分と味方のポケモンは状態異常にならなくなる。
交代しても効果は続く。"
じこあんじ,もりもり、れおさん,ノーマル,-,-,10,変化,非接触,相手の能力ランクの変化を、すべて自分にコピーする。
じこさいせい,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、あゆま、ぶっちー、
ともき、はるた、まっちゃん、みっちー、せな、いっくん、ふうと、まこっちゃん",ノーマル,-,-,5,変化,非接触,HPが最大HPの半分回復する。
せいちょう,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん",ノーマル,-,-,20,変化,非接触,"自分の『こうげき』『とくこう』ランクが1段階ずつ上がる。
天気が『にほんばれ』の時は、2段階ずつ上がる。"
たくわえる,えいらく、もりみつ、たかほ、まちだ、ともき、みっちー、まこっちゃん,ノーマル,-,-,20,変化,非接触,"自分の『ぼうぎょ』『とくぼう』ランクを1段階ずつ上げる。
技『のみこむ』『はきだす』の効果を上げる。3回までたくわえることができる。"
ちいさくなる,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん",ノーマル,-,-,10,変化,非接触,"自分の回避率を2段階上げる。ただし、技『サンダーダイブ』『のしかかり』
『ふみつけ』『ドラゴンダイブ』『ハードローラー』『ハイパーダーククラッシャー』
『フライングプレス』『ヒートスタンプ』『ヘビーボンバー』は必ず命中し、
威力2倍で受けるようになってしまう"
ちょうおんぱ,もりもり、れおさん,ノーマル,-,55,20,変化,非接触,"相手を1～4ターンの間『こんらん』状態にする。音系の技。
相手の『みがわり』状態を貫通する。"
つぼをつく,もりみつ、たかほ、みっちー、まこっちゃん,ノーマル,-,-,30,変化,非接触,"ランダムで『こうげき』『ぼうぎょ』『とくこう』『とくぼう』『すばやさ』『回避率』
『命中率』ランクのどれか1つが2段階上がる。
この技は『ダイウォール』の効果も受けない。"
つるぎのまい,とうま、ぶっちー、いっくん、ふうと,ノーマル,-,-,20,変化,非接触,	自分の『こうげき』ランクを2段階上げる。
ないしょばなし,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん",ノーマル,-,-,20,変化,非接触,"相手の『とくこう』ランクを1段階下げる。自分の命中率、
相手の回避率に関係なく必ず命中する。相手の『まもる』『みきり』『トーチカ』
『ニードルガード』『ブロッキング』『スレッドトラップ』『かえんのまもり』
の効果を受けない(『ダイウォール』を除く)。音系の技。相手の『みがわり』状態を貫通する。"
なかまづくり,もりもり,ノーマル,-,100,15,変化,非接触,相手の特性を自分と同じ特性にする。ダイマックスしている相手には無効。
なまける,とうま,ノーマル,-,-,5,変化,非接触,        HPが最大HPの半分回復する。
にらみつける,あゆま、まっちゃん,ノーマル,-,-,10,変化,非接触,相手の『ぼうぎょ』ランクを1段階下げる。
ねがいごと,れおさん,ノーマル,-,-,10,変化,非接触,"次のターンの終了時にHPが最大HPの半分回復する。
交代した場合は同じ位置にいるポケモンが回復する。"
ねごと,あゆま、ぶっちー、にしき、いっくん、ふうと,ノーマル,-,-,10,変化,非接触,"	自分が『ねむり』状態の時のみ使用可能。
自分の持っている技のうち1つをランダムで使う。PPが減少するのはこの技のみ。"
ハッピータイム,れおさん,ノーマル,-,-,30,変化,非接触,	戦闘後に得られる賞金が2倍になる。
はねる,たかほ、もりもり、いっくん,ノーマル,-,-,40,変化,非接触,何も起こらない。
はらだいこ,もりもり、いっくん,ノーマル,-,-,10,変化,非接触,自分のHPを最大HPの半分だけ減らす代わりに、自分の『こうげき』ランクを最大まで上げる。
バトンタッチ,"えいらく、たつた、もりみつ、たかほ、まちだ、とうま、もりもり、あゆま、ぶっちー、
ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん",ノーマル,-,-,40,変化,非接触,他の味方のポケモンと交代し、かかっていた補助効果を引き継ぐ。
フラフラダンス,えいらく、ふうと,ノーマル,-,100,20,変化,非接触,	相手を1～4ターンの間『こんらん』状態にする。
ふるいたてる,えいらく、たかほ、もりもり、あゆま、まっちゃん、せな、いっくん、ふうと,ノーマル,-,-,30,変化,非接触,自分の『こうげき』『とくこう』ランクが1段階ずつ上がる。
ほえる,もりみつ、うめ、とうま、もりもり、あゆま、まっちゃん、せな、いっくん,ノーマル,-,-,30,変化,非接触,"必ず後攻になる(優先度:-6)。相手のポケモンを強制的に交代させる。
野生のポケモンの場合は戦闘を終了する。自分の命中率、相手の回避率に関係なく必ず命中する。
相手の『まもる』『みきり』『トーチカ』『ニードルガード』『ブロッキング』『スレッドトラップ』
『かえんのまもり』の効果を受けない。相手の『みがわり』状態を貫通する。
ダイマックスしている相手には無効。野生のポケモンの場合、
相手が自分のレベルより高い場合は失敗する。"
ほおばる,たつた、うめ、はるた、いっくん、ふうと、まこっちゃん,ノーマル,-,-,10,変化,非接触,"	自分が持っている『きのみ』を即座に使って効果を発動させ、
さらに自分の『ぼうぎょ』ランクを2段階上げる。"
まねっこ,ともき、ふうと,ノーマル,-,-,20,変化,非接触,"最後に使われた技で相手に攻撃する。自分の技も対象となる。
最後の技がダイマックス技の場合、元となった技が使われる。"
まもる,"えいらく、たつた、もりみつ、うめ、まちだ、とうま、もりもり、あゆま、ぶっちー、
はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、まこっちゃん、
れおさん",ノーマル,-,-,10,変化,非接触,"必ず先制でき(優先度:+4)、そのターンの間、相手の技を受けない。
連続で使うと失敗しやすくなる。
ダイマックス技や第7世代のZワザの攻撃技は貫通し、1/4のダメージを受ける。"
みがわり,"えいらく、たつた、もりみつ、うめ、まちだ、とうま、もりもり、あゆま、ぶっちー、
ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
れおさん",ノーマル,-,-,10,変化,非接触,"自分のHPを最大HPの1/4だけ減らして分身を作り、
分身のHPが0になるまですべての攻撃を自分の代わ
りに分身が受ける。音系の技などはそのまま受ける。
分身は状態異常にならない。"
ミルクのみ,ふうと,ノーマル,-,-,5,変化,非接触,HPが最大HPの半分回復する。
みをけずる,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん",ノーマル,-,-,10,変化,非接触,"自分のHPを最大HPの半分だけ減らす代わりに、
自分の『こうげき』『とくこう』『すばやさ』ランクが2段階ずつ上がる。"
ゆびをふる,ぶっちー、ふうと、れおさん,ノーマル,-,-,10,変化,非接触,ほぼすべての技の中からランダムで1つ使う。
ロックオン,まちだ、とうま、あゆま、ともき、はるた、ふうと,ノーマル,-,-,5,変化,非接触,次のターン、使った相手に自分の技が必ず命中する。
あばれる,うめ、とうま、もりもり、あゆま、まっちゃん、せな、いっくん,ノーマル,120,100,10,物理,接触,2～3ターン連続で攻撃し、その後自分は1～4ターンの間『こんらん』状態になる。
いかりのまえば,もりもり,ノーマル,-,90,10,物理,接触,"相手のHPを残りHPの半分にする。
『ゴースト』タイプには無効だが、それ以外のタイプ相性の影響を受けない。"
かいりき,えいらく、まっちゃん,ノーマル,80,100,15,物理,接触,	通常攻撃。
かたきうち,えいらく、たかほ、まちだ、もりもり、あゆま、はるた、まっちゃん、せな,ノーマル,70,100,5,物理,接触,	前のターンに味方のポケモンが倒されていると威力が2倍になる。
からげんき,たつた、もりもり、れおさん,ノーマル,70,100,20,物理,接触,"自分が『どく』『まひ』『やけど』状態の時、威力が2倍になる。
『やけど』による『こうげき』の半減の影響を受けない。"
がむしゃら,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん",ノーマル,-,100,5,物理,接触,"相手の残りHPから自分の残りHPを引いた分のダメージを与える。
『ゴースト』タイプには無効だが、それ以外のタイプ相性の影響を受けない。"
きりさく,とうま、せな,ノーマル,70,100,20,物理,接触,	急所に当たりやすい(急所ランク:+1)。
ギガインパクト,えいらく,ノーマル,150,90,5,物理,接触,使用した次のターンは行動できない。
こうそくスピン,えいらく、もりみつ、うめ、とうま、ぶっちー、みっちー、にしき、ふうと,ノーマル,50,100,40,物理,接触,"自分が受けている技『うずしお』『からではさむ』『サンダープリズン』『しめつける』『すなじごく』
『トラバサミ』『ほのおのうず』『マグマストーム』『まきつく』『やどりぎのタネ』
および自分の場の『ステルスロック』『どくびし』『まきびし』『ねばねばネット』の効果を解除する。
第8世代からは、攻撃後、100%の確率で自分の『すばやさ』ランクが1段階上がる。"
しめつける,とうま,ノーマル,15,85,20,物理,接触,"4～5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、
その間『ゴースト』タイプではない相手は逃げたり交代できない。"
しんそく,えいらく、まちだ、あゆま、ともき、はるた、まっちゃん、みっちー,ノーマル,80,100,5,物理,接触,必ず先制できる(優先度:+2)。
じたばた,もりもり、いっくん,ノーマル,-,100,15,物理,接触,自分の残りHPが少ないほど威力が高くなる。(威力は20～200)
じばく,えいらく、たつた、もりみつ、とうま、もりもり、にしき、いっくん,ノーマル,200,100,5,物理,非接触,攻撃後、自分が『ひんし』状態になる。
すてみタックル,もりもり、にしき,ノーマル,120,100,15,物理,接触,相手に与えたダメージの33%を自分も受ける。
ずつき,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
れおさん",ノーマル,70,100,15,物理,接触,30%の確率で相手をひるませる。
たいあたり,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
れおさん",ノーマル,40,100,35,物理,接触,	通常攻撃。
ダブルアタック,"えいらく、もりみつ、たかほ、とうま、あゆま、はるた、まっちゃん、みっちー、せな、
ふうと",ノーマル,35,90,10,物理,接触,1ターンに2回連続で攻撃する。
でんこうせっか,えいらく、とうま、あゆま、はるた、まっちゃん、ふうと,ノーマル,40,100,30,物理,接触,必ず先制できる(優先度:+1)。
とっしん,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
れおさん",ノーマル,90,85,20,物理,接触,相手に与えたダメージの1/4を自分も受ける。
ねこだまし,とうま,ノーマル,40,100,10,物理,接触,必ず先制でき(優先度:+3)、100%の確率で相手をひるませる。ただし、出た最初のターンしか成功しない。
のしかかり,うめ、もりもり、いっくん,ノーマル,85,100,15,物理,接触,"30%の確率で相手を『まひ』状態にする。
相手が技『ちいさくなる』を使用していると必ず命中し、威力が2倍になる。"
ハサミギロチン,せな、まこっちゃん,ノーマル,-,30,5,物理,接触,"相手を『ひんし』状態にする。相手のレベルが自分より高いと失敗する。
(30＋自分のレベル－相手のレベル)が命中率になる。
『ゴースト』タイプには無効だが、それ以外のタイプ相性の影響を受けない。
ダイマックスしている相手には無効。"
フェイント,"えいらく、もりみつ、たかほ、うめ、とうま、あゆま、はるた、まっちゃん、
みっちー、ふうと",ノーマル,30,100,10,物理,接触,"必ず先制できる(優先度:+2)。相手が技『まもる』『みきり』『たたみがえし』『トーチカ』
『キングシールド』『ニードルガード』『ブロッキング』『スレッドトラップ』『かえんのまもり』
『ファストガード』『ワイドガード』をしている場合は、その効果を解除して攻撃できる
(使用していない場合は通常攻撃)。『ダイウォール』は解除はできないが、貫通する。"
ふみつけ,あゆま、みっちー,ノーマル,65,100,20,物理,接触,"30%の確率で相手をひるませる。相手が技『ちいさくなる』を使用していると必ず命中し、
威力が2倍になる。"
ほしがる,いっくん、ふうと,ノーマル,60,100,25,物理,接触,"相手が持っている道具を自分の物にする。自分が既に道具を持っている場合は失敗するが、
技『はたきおとす』で自分の道具が無効化されている時は奪う事ができ、道具は上書きされる。
トレーナー戦の場合はバトル終了後になくなる。"
みだれづき,もりみつ、れお,ノーマル,15,85,20,物理,接触,1ターンに2～5回連続で攻撃する。
わるあがき,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん",ノーマル,50,-,1,物理,接触,"すべての技のPPが0になる等して使える技がなくなると使える。自分の最大HPの1/4を自分も受ける。
『タイプ』に関係なくダメージを与える。"
いびき,もりもり、にしき、いっくん、ふうと,ノーマル,50,100,15,特殊,非接触,"	自分が『ねむり』状態の時のみ使用可能。30%の確率で相手をひるませる。音系の技。
相手の『みがわり』状態を貫通する。"
ウェザーボール,もりもり、ともき,ノーマル,50,100,10,特殊,非接触,"天気が『にほんばれ』の時は『ほのお』タイプ、『あめ』の時は『みず』タイプ、『ゆき』の時は
『こおり』タイプ、『すなあらし』の時は『いわ』タイプになり、威力が2倍になる。
ダイマックス技や第7世代のZワザもタイプが変わる。"
エコーボイス,えいらく、たつた、いっくん、ふうと,ノーマル,40,100,15,特殊,非接触,"毎ターン、誰かが技『エコーボイス』を使う度に威力が高くなっていく。音系の技。
相手の『みがわり』状態を貫通する。"
さわぐ,"たつた、もりみつ、うめ、とうま、もりもり、あゆま、ともき、はるた、まっちゃん、
にしき、せな、いっくん、ふうと",ノーマル,90,100,10,特殊,非接触," 3ターン連続で攻撃し、その間はすべてのポケモンが『ねむり』状態にならない。音系の技。
相手の『みがわり』状態を貫通する。"
スピードスター,まちだ、あゆま、ともき、はるた、まっちゃん、みっちー,ノーマル,60,-,20,特殊,非接触,自分の命中率、相手の回避率に関係なく必ず命中する。
ハイパーボイス,えいらく、たつた、とうま、もりもり、あゆま、いっくん、ふうと、れおさん,ノーマル,90,100,10,特殊,非接触,音系の技。相手の『みがわり』状態を貫通する。
はかいこうせん,うめ、もりもり、はるた、いっくん,ノーマル,150,90,5,特殊,非接触,	使用した次のターンは行動できない。
ばくおんぱ,えいらく、とうま、いっくん,ノーマル,140,100,10,特殊,非接触,音系の技。相手の『みがわり』状態を貫通する。
はいすいのじん,えいらく、たつた、とうま、はるた、にしき、せな,かくとう,-,-,5,変化,非接触,"自分のすべての『のうりょく』ランクが1段階ずつ上がるが、逃げたり交代できなくなる。
2回目からは失敗する。なお、自分が『ゴースト』タイプの場合は逃げたり交代できる。"
ビルドアップ,えいらく、もりみつ、あゆま、まっちゃん,かくとう,-,-,20,変化,非接触,	自分の『こうげき』『ぼうぎょ』ランクを1段階ずつ上げる。
みきり,たかほ、とうま、まっちゃん,かくとう,-,-,5,変化,非接触,"必ず先制でき(優先度:+4)、そのターンの間、相手の技を受けない。連続で使うと失敗しやすくなる。
ダイマックス技や第7世代のZワザの攻撃技は貫通し、1/4のダメージを受ける。"
アームハンマー,えいらく、とうま、もりもり、まっちゃん,かくとう,100,90,10,物理,接触,攻撃後、自分の『すばやさ』ランクが1段階下がる。特性『てつのこぶし』の時、威力が1.2倍になる。
いわくだき,えいらく、たかほ、とうま、もりもり、あゆま、まっちゃん,かくとう,40,100,15,物理,接触,50%の確率で相手の『ぼうぎょ』ランクを1段階下げる。
インファイト,とうま、まっちゃん,かくとう,120,100,5,物理,接触,攻撃後、自分の『ぼうぎょ』『とくぼう』ランクが1段階ずつ下がる。
カウンター,えいらく、たかほ、とうま、あゆま、まっちゃん,かくとう,-,100,20,物理,接触,"相手の物理攻撃のダメージの2倍をその相手に与える。
『ダブルバトル』の時は最後に受けた技のみ有効になる。必ず後攻になる(優先度:-5)。
『ゴースト』タイプには無効だが、それ以外のタイプ相性の影響を受けない。"
かかとおとし,とうま、まっちゃん,かくとう,120,90,10,物理,接触,"30%の確率で相手を1～4ターンの間『こんらん』状態にする。攻撃が外れたり、
相手の技『まもる』などで失敗すると、自分の最大HPの半分のダメージを自分が受ける。"
かわらわり,たかほ、とうま、まっちゃん,かくとう,75,100,15,物理,接触,"相手の技『リフレクター』『オーロラベール』の効果を受けず、
相手の技『リフレクター』『ひかりのかべ』『オーロラベール』を壊す。"
きあいパンチ,えいらく、たかほ、とうま、もりもり、あゆま、まっちゃん,かくとう,150,100,20,物理,接触,"必ず後攻になり(優先度:-3)、攻撃するまでに技を受けると失敗してしまう。
特性『てつのこぶし』の時、威力が1.2倍になる。"
きしかいせい,たつた、うめ、まっちゃん、にしき、いっくん,かくとう,-,100,15,物理,接触,自分の残りHPが少ないほど威力が高くなる。(威力は20～200)
クロスチョップ,えいらく、たかほ、とうま、まっちゃん,かくとう,100,80,5,物理,接触,急所に当たりやすい(急所ランク:+1)。
けたぐり,たかほ、とうま、まっちゃん,かくとう,-,100,20,物理,接触,"相手の『おもさ』が重いほど威力が高くなる。10kg未満は20、25kg未満は40、50kg未満は60、
100kg未満は80、200kg未満は100、それ以上は120。"
つっぱり,もりもり、いっくん,かくとう,15,100,20,物理,接触,1ターンに2～5回連続で攻撃する。
とびひざげり,とうま、まっちゃん,かくとう,130,90,10,物理,接触,"攻撃が外れたり、相手の技『まもる』などで失敗すると、
自分の最大HPの半分のダメージを自分が受ける。"
ともえなげ,とうま,かくとう,60,90,10,物理,接触,"必ず後攻になる(優先度:-6)。攻撃後、相手のポケモンを強制的に交代させる。
野生のポケモンの場合は戦闘を終了する。ダイマックスしている相手には追加効果は無効。"
トリプルキック,たかほ、とうま、まっちゃん,かくとう,10,90,10,物理,接触,1ターンに外れるまで最大3回連続で攻撃する。攻撃が当たる度に威力が10ずつ増える。
ドレインパンチ,もりみつ、たかほ、とうま、まっちゃん,かくとう,75,100,10,物理,接触,"相手に与えたダメージの半分だけ自分のHPが回復する。
特性『てつのこぶし』の時、威力が1.2倍になる。"
にどげり,たかほ、とうま、あゆま、まっちゃん,かくとう,30,100,30,物理,接触,1ターンに2回連続で攻撃する。
はっけい,とうま,かくとう,60,100,10,物理,接触,30%の確率で相手を『まひ』状態にする。
はやてがえし,もりみつ、たかほ,かくとう,65,100,15,物理,接触,"必ず先制できる(優先度:+3)。相手を100%の確率でひるませる。
ただし、そのターン相手が選んだ技が先制技ではない場合や、すでに攻撃を終えていた場合は失敗する。"
ばかぢから,えいらく、あゆま、まっちゃん,かくとう,120,100,5,物理,接触,攻撃後、自分の『こうげき』『ぼうぎょ』ランクが1段階ずつ下がる。
ばくれつパンチ,まっちゃん,かくとう,100,50,5,物理,接触,"100%の確率で相手を1～4ターンの間『こんらん』状態にする。
特性『てつのこぶし』の時、威力が1.2倍になる。"
ボディプレス,もりもり、いっくん,かくとう,80,100,10,物理,接触,"『こうげき』ではなく、
自分の『ぼうぎょ』と『ぼうぎょ』ランクを『こうげき』の数値にしてダメージ計算する。"
マッハパンチ,まっちゃん,かくとう,40,100,10,物理,接触,必ず先制できる(優先度:+1)。特性『てつのこぶし』の時、威力が1.2倍になる。
ローキック,とうま、あゆま、まっちゃん、ふうと,かくとう,65,100,20,物理,接触,100%の確率で相手の『すばやさ』ランクを1段階下げる。
いのちがけ,れおさん,かくとう,-,100,5,特殊,非接触,"自分のHPを0にし、その分のダメージを相手に与える。
『ゴースト』タイプには無効だが、それ以外のタイプ相性の影響を受けない。"
きあいだま,えいらく、たかほ、もりもり、あゆま、まっちゃん、れおさん,かくとう,120,70,5,特殊,非接触,10%の確率で相手の『とくぼう』ランクを1段階下げる。
しんくうは,みっちー、まこっちゃん,かくとう,40,100,30,特殊,非接触,必ず先制できる(優先度:+1)。
はどうだん,えいらく、とうま、あゆま、まっちゃん、れおさん,かくとう,80,-,20,特殊,非接触,自分の命中率、相手の回避率に関係なく必ず命中する。
おいかぜ,もりみつ、ともき、ふうと,ひこう,-,-,15,変化,非接触,4ターンの間、自分と味方の『すばやさ』が2倍になる。
きりばらい,たかほ、ぶっちー、まこっちゃん,ひこう,-,-,15,変化,非接触,"相手の回避率を1段階下げる。相手の場の『しろいきり』『ひかりのかべ』『リフレクター』
『しんぴのまもり』『オーロラベール』、両方の場の『まきびし』『どくびし』『ステルスロック』
『ねばねばネット』、さらに第8世代からは『エレキフィールド』『グラスフィールド』『サイコフィールド』
『ミストフィールド』の効果を解除する。相手が『みがわり』状態の場合、回避率を下げる効果のみ失敗する。"
はねやすめ,もりみつ、ともき,ひこう,-,-,5,変化,非接触,HPが最大HPの半分回復するが、そのターンは『ひこう』タイプではなくなる。
フェザーダンス,えいらく、まちだ、ふうと,ひこう,-,100,15,変化,非接触,相手の『こうげき』ランクを2段階下げる。
アクロバット,もりみつ、とうま、あゆま、ともき、まっちゃん、ふうと,ひこう,55,100,15,物理,接触,	自分が道具を持っていない時、威力が2倍になる。
ゴットバード,もりみつ、ともき,ひこう,140,90,5,物理,非接触,"1ターン目は攻撃せずに、2ターン目で攻撃する。30%の確率で相手をひるませる。
急所に当たりやすい(急所ランク:+1)。"
そらをとぶ,"えいらく、たつた、もりみつ、たかほ、あゆま、ともき、はるた、みっちー、せな、
ふうと、まこっちゃん",ひこう,90,95,15,物理,接触,"1ターン目に空中へ飛び上がり、2ターン目に攻撃する。空中にいる間は『うちおとす』『かぜおこし』
『かみなり』『サウザンアロー』『スカイアッパー』『たつまき』『ぼうふう』以外の技を受けない。"
ダブルウイング,もりみつ、たかほ、ともき、ふうと,ひこう,40,90,10,物理,接触,1ターンに2回連続で攻撃する。
ついばむ,とうま、はるた、にしき,ひこう,60,100,20,物理,接触,相手が持っているバトルに効果のある『きのみ』を奪って、自分に使う。
つつく,もりみつ、とうま、ともき,ひこう,35,100,35,物理,接触,通常攻撃。
つばさでうつ,もりみつ、ともき,ひこう,60,100,35,物理,接触,通常攻撃。
つばめがえし,たつた、もりみつ、とうま、あゆま、ともき、まっちゃん、ふうと,ひこう,60,-,20,物理,接触,自分の命中率、相手の回避率に関係なく必ず命中する。
とびはねる,うめ、もりもり,ひこう,85,85,5,物理,接触,"1ターン目に空中へ飛び上がり、2ターン目に攻撃する。空中にいる間は『うちおとす』『かぜおこし』
『かみなり』『サウザンアロー』『スカイアッパー』『たつまき』『ぼうふう』以外の技を受けない。
30%の確率で相手を『まひ』状態にする。"
ドリルくちばし,もりみつ、ともき,ひこう,80,100,20,物理,接触,通常攻撃。
ブレイブバード,もりみつ,ひこう,120,100,15,物理,接触,相手に与えたダメージの33%を自分も受ける。
エアカッター,もりみつ、とうま、ぶっちー、ともき、みっちー,ひこう,60,95,25,特殊,非接触,急所に当たりやすい(急所ランク:+1)。
エアスラッシュ,もりみつ、とうま、ともき、みっちー,ひこう,75,95,15,特殊,非接触,30%の確率で相手をひるませる。
かぜおこし,たつた、あゆま、ともき,ひこう,40,100,35,特殊,非接触,相手が技『そらをとぶ』『とびはねる』『フリーフォール』を使っている時でも命中し、ダメージが2倍になる。
こがらしあらし,もりみつ、うめ、ともき、ふうと,ひこう,100,80,10,特殊,非接触,30%の確率で、相手の『すばやさ』ランクを1段階下げる。天気が『あめ』の時は必ず命中する。
ぼうふう,もりみつ、とうま、もりもり、ともき、せな、ふうと,ひこう,110,70,10,特殊,非接触,"30%の確率で、相手を2～5ターンの間『こんらん』状態にする。天気が『あめ』の時は必ず命中し、
『にほんばれ』の時は命中率が50%になる。相手が技『そらをとぶ』『とびはねる』『フリーフォール』
を使っている時でも命中する。"
いえき,もりもり、いっくん,どく,-,100,10,変化,非接触,"相手の特性を無効にする。ただし、『バトルスイッチ』『ばけのかわ』などフォルムに関わる特性や、
一部の固有の特性などには効かない。"
